,,,,,,,,,,,,,,,,,,,,,,,,
_ID,_IDchannel,attachment_url,category,comment_status,creator,description,encoded,guid,is_sticky,item,link,menu_order,ping_status,post_date,post_date_gmt,post_id,post_name,post_parent,post_password,post_type,postmeta,pubDate,status,title
1,1,http://dukapress.org/demo/wp-content/uploads/2010/07/cropped-Banner.jpg,,closed,moshthepitt,,http://dukapress.org/demo/wp-content/uploads/2010/07/cropped-Banner.jpg,http://dukapress.org/demo/wp-content/uploads/2010/07/cropped-Banner.jpg,0,                                                                        ,http://dukapress.org/demo/?attachment_id=13,0,open,2010-07-19 11:28:16,2010-07-19 08:28:16,13,cropped-banner-jpg,0,,attachment,,"Mon, 19 Jul 2010 08:28:16 +0000",inherit,cropped-Banner.jpg
2,1,http://dukapress.org/demo/wp-content/uploads/2010/07/favicon.png,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/07/favicon.png,0,                                                                     ,http://dukapress.org/demo/?attachment_id=67,0,open,2010-07-19 14:07:48,2010-07-19 11:07:48,67,favicon,0,,attachment,,"Mon, 19 Jul 2010 11:07:48 +0000",inherit,favicon
3,1,http://dukapress.org/demo/wp-content/uploads/2010/07/favicon-contact-info.png,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/07/favicon-contact-info.png,0,                                                                     ,http://dukapress.org/demo/?attachment_id=72,0,open,2010-07-28 20:04:19,2010-07-28 17:04:19,72,favicon-contact-info,0,,attachment,,"Wed, 28 Jul 2010 17:04:19 +0000",inherit,favicon-contact-info
4,1,http://dukapress.org/demo/wp-content/uploads/2010/07/Slide1.gif,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/07/Slide1.gif,0,                                                                     ,http://dukapress.org/demo/?attachment_id=73,0,open,2010-07-28 20:04:47,2010-07-28 17:04:47,73,slide1,0,,attachment,,"Wed, 28 Jul 2010 17:04:47 +0000",inherit,Slide1
5,1,http://dukapress.org/demo/wp-content/uploads/2010/08/demo1duka.png,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/demo1duka.png,0,                                                                     ,http://dukapress.org/demo/?attachment_id=88,0,open,2010-08-01 23:49:38,2010-08-01 20:49:38,88,demo1duka,0,,attachment,,"Sun, 01 Aug 2010 20:49:38 +0000",inherit,demo1duka
6,1,http://dukapress.org/demo/wp-content/uploads/2010/08/demo1duka1.png,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/demo1duka1.png,0,                                                                     ,http://dukapress.org/demo/?attachment_id=89,0,open,2010-08-01 23:51:20,2010-08-01 20:51:20,89,demo1duka-2,0,,attachment,,"Sun, 01 Aug 2010 20:51:20 +0000",inherit,demo1duka
7,1,http://dukapress.org/demo/wp-content/uploads/2010/08/Double-Vessel.jpg,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/Double-Vessel.jpg,0,                                                                     ,http://dukapress.org/demo/products/double-vessels/double-vessel-2/,0,open,2010-08-21 11:26:07,2010-08-21 08:26:07,96,double-vessel-2,95,,attachment,,"Sat, 21 Aug 2010 08:26:07 +0000",inherit,Double-Vessel
8,1,http://dukapress.org/demo/wp-content/uploads/2010/08/Igbo-Male-Figure.jpg,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/Igbo-Male-Figure.jpg,0,                                                                     ,http://dukapress.org/demo/products/male-figurine/igbo-male-figure-2/,0,open,2010-08-21 22:12:56,2010-08-21 19:12:56,104,igbo-male-figure-2,100,,attachment,,"Sat, 21 Aug 2010 19:12:56 +0000",inherit,Igbo-Male-Figure
9,1,http://dukapress.org/demo/wp-content/uploads/2010/08/Horned-Goat-Carving.jpg,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/Horned-Goat-Carving.jpg,0,                                                                     ,http://dukapress.org/demo/products/carved-goat-head/horned-goat-carving-2/,0,open,2010-08-21 22:15:03,2010-08-21 19:15:03,107,horned-goat-carving-2,101,,attachment,,"Sat, 21 Aug 2010 19:15:03 +0000",inherit,Horned-Goat-Carving
10,1,http://dukapress.org/demo/wp-content/uploads/2010/08/Kabyle-Jar.jpg,,open,moshthepitt,,,http://dukapress.org/demo/wp-content/uploads/2010/08/Kabyle-Jar.jpg,0,                                                                     ,http://dukapress.org/demo/products/kabyle-jar/kabyle-jar-2/,0,open,2010-08-21 22:15:56,2010-08-21 19:15:56,109,kabyle-jar-2,102,,attachment,,"Sat, 21 Aug 2010 19:15:56 +0000",inherit,Kabyle-Jar
